bank,year,ts_code,adminExpense,netInterestIncome,coreRevenue,nonInterestShare,feeAssetRatio,loanAssetRatio,depositLiabilityRatio,cashProfitRatio,costIncomeRatio,fvChangeRatio,ocfToRevenue,creditImpairLoss,depositGrowthCF,loanIssuanceCF,centralBankAdj
中国银行,2020,601988.SH,15114900.0,41591800.0,49144000.0,26.455313678648917,0.3094826674421013,2.9064988368685563,75.89616049984572,35.60674025822054,26.726916826840615,0.5386032843841577,12.913173636812129,,8407300.0,120449200.0,
中国银行,2021,601988.SH,17060200.0,42514200.0,50656800.0,29.79346356011553,0.3047105635090969,2.8148099527557546,74.44196184492317,370.9253581655589,28.172647091365167,4.597281469163474,139.25282259862374,,198891700.0,156470400.0,13257900.0
中国银行,2022,601988.SH,17231100.0,46067800.0,53292600.0,25.457719871393458,0.2498732701071324,2.924493954576866,76.67807523231168,-4.77339329021827,27.88163279175546,-3.6978864702471936,-1.8344393042819767,,157886200.0,188199300.0,9032100.0
中国银行,2023,601988.SH,17750300.0,46654500.0,54541000.0,25.099817142380104,0.24316908096733347,2.6224212098569057,77.19217878838232,331.38884040735314,28.496730557129762,-0.23950637330518795,131.07407579841671,,3819300.0,246145500.0,63004900.0
中国银行,2024,601988.SH,18126200.0,44893400.0,52552400.0,28.75081337586694,0.21844598513021435,2.604047842038026,75.37789798194144,218.0152659673392,28.767636369407544,-0.5295741030804804,87.44242885936929,,191353500.0,168816700.0,-47160000.0
中国银行,2025,601988.SH,,,,,,,,,,,,,,,
交通银行,2020,601328.SH,6600400.0,15333600.0,19842200.0,37.71892770105605,0.42145838848580847,3.4624910821252137,67.29135426176302,187.75669222068618,26.809098294069862,1.2357535435348568,60.68155970755483,,66989000.0,59792600.0,
交通银行,2021,601328.SH,7454500.0,16169300.0,20926600.0,39.97809866735959,0.40780036820585236,3.7670080047098526,65.8629664478369,-39.09983246944535,27.671776977616098,3.9570450941368045,-12.908793941868666,,88215300.0,77623400.0,-8283300.0
交通银行,2022,601328.SH,7682500.0,16993700.0,21457600.0,37.74699792657284,0.3435772814900751,3.681785508918701,66.4822732131556,400.10974682168853,28.143293598751544,-2.50674540548796,134.89035746470412,6041100.0,5148700.0,74098800.0,7137400.0
交通银行,2023,601328.SH,7736900.0,16412300.0,20712700.0,36.28641860284556,0.30585032991780076,3.913773307183429,65.97639445407931,147.2601123836486,30.035132669500577,1.1926016570041527,53.30965274947107,5690800.0,1815400.0,67886300.0,9192000.0
交通银行,2024,601328.SH,7768700.0,16983200.0,20674600.0,34.63625657170568,0.24773304532929524,3.950487751696781,64.02515947478086,-60.86024472296214,29.899625133743353,2.370620922928244,-22.071694133766442,5256700.0,51695000.0,63014000.0,-18066800.0
交通银行,2025,601328.SH,,,,,,,,,,,,,,,
农业银行,2020,601288.SH,19234800.0,54507900.0,61962400.0,17.156336013836686,0.27401165673413463,2.0104651905214497,81.51018506178669,-28.158964879852128,29.23395155639924,1.1197887191096019,-9.261339197915985,16469900.0,33055200.0,183231500.0,
农业银行,2021,601288.SH,21930800.0,57798700.0,65831600.0,19.71454963433183,0.27633758188017504,1.537519752466145,82.20990208721201,99.04065537993519,30.463040775647126,-1.3583209409219954,33.28379044748338,16588600.0,171277000.0,202648200.0,-11586900.0
农业银行,2022,601288.SH,22927300.0,58996600.0,67124800.0,18.61056081934918,0.23957533251828242,1.4747019772996757,80.37940066198911,511.04148626917373,31.629620841311795,1.844123102646498,182.37844683445815,14526700.0,44434000.0,259879300.0,22772400.0
农业银行,2023,601288.SH,23529600.0,57175000.0,65184300.0,17.713448508119995,0.2008703185005769,1.294563093827754,78.154404618202,676.4813579423319,33.863920279551195,0.9986370393502028,262.69551601259593,13570700.0,63478000.0,282423600.0,37291700.0
农业银行,2024,601288.SH,24442000.0,58069200.0,65625900.0,18.276276994743547,0.17476933267357625,1.225230921731476,75.49752419367576,478.663180871048,34.39846317315338,2.5037515546630495,190.42044598940265,13084000.0,235095900.0,228794800.0,-78759500.0
农业银行,2025,601288.SH,,,,,,,,,,,,,,,
工商银行,2020,601398.SH,19684800.0,64676500.0,77798000.0,26.725881279987313,0.39350658799273946,1.6763623563047934,82.58346499682952,490.3020287391598,22.301552684200686,3.2634918368075567,176.4674026952468,,3040300.0,207940000.0,
工商银行,2021,601398.SH,22594500.0,69068000.0,82370400.0,26.738667871636746,0.3782165745373163,1.366716230635571,82.89964376550442,103.04554903259702,23.966282052097984,3.406221243166023,38.27922635829616,,138831000.0,218461100.0,-43935700.0
工商银行,2022,601398.SH,22961500.0,69368700.0,82295200.0,24.434061846056977,0.32634718346589064,1.70887367189269,82.75329912753637,389.060708291094,25.012826951085472,-2.7352005016979635,153.01457860606175,,14774100.0,251120400.0,32945400.0
工商银行,2023,601398.SH,22726600.0,65501300.0,77437000.0,22.306214193364728,0.267035346985426,1.571599343214352,81.91781960778526,388.09638580615473,26.956954938498583,0.642468824502448,168.07643493422847,,17836800.0,289890200.0,61440100.0
工商银行,2024,601398.SH,23046000.0,63740500.0,74680200.0,22.438224245956757,0.22407432950062867,1.5138971064246658,77.70129819728031,157.84175328249935,28.043217170051705,2.896922197962672,70.47844799787784,12573900.0,187707200.0,227797700.0,-71938200.0
工商银行,2025,601398.SH,,,,,,,,,,,,,,,
建设银行,2020,601939.SH,17930800.0,57590900.0,69049100.0,23.807249509828566,0.4072976164654279,1.3095431315244062,80.08023648927524,212.25496108984973,23.72244522119234,-0.1901276231670509,76.82461520550157,,39287600.0,191702000.0,
建设银行,2021,601939.SH,20986400.0,60542000.0,72691200.0,26.54862747286611,0.4015736244148249,0.6219413320806496,80.96573726846705,143.69126898475955,25.46133071922703,1.7311818864095219,52.983939260851734,16794900.0,170625500.0,212556100.0,-5227200.0
建设银行,2022,601939.SH,21321900.0,64306400.0,75914900.0,21.813360438579746,0.33548719280495354,1.2417693505247123,78.87237389393495,302.7605007952569,25.924133679768214,-3.235196339429921,118.96062241556866,15453900.0,15265700.0,237147100.0,39540400.0
